시추공,상단심도 GL(-m),하단심도 GL(-m),두께(m),지층명,토질/암종·비고
BB-7,0,9.7,9.7,매립층,자갈 섞인 모래
BB-7,9.7,15.5,5.8,퇴적층,점토 섞인 자갈
BB-7,15.5,25.5,10,풍화토,모래 섞인 실트
BB-7,25.5,28.5,3,연암,안산암
BB-11,0,14.7,14.7,매립층,자갈질 점토
BB-11,14.7,38,23.3,풍화토,점토 섞인 실트질 모래/모래 및 점토 섞인 실트
BB-11,38,45,7,풍화암,굴진 시 실트 섞인 모래 또는 점토 섞인 실트로 분해
BH-01,0,4.2,4.2,매립층,모래 및 실트 섞인 자갈
BH-01,4.2,8.2,4,퇴적층,실트질 점토
BH-01,8.2,8.5,0.3,퇴적층,점토 섞인 모래
BH-01,8.5,10.3,1.8,퇴적층,모래 및 점토 섞인 자갈
BH-01,10.3,14,3.7,풍화토,실트질 점토
BH-01,14,16.2,2.2,풍화암,굴진 시 실트질 점토로 분해
BH-01,16.2,17.3,1.1,기반암,기반암
BH-03,0,4,4,매립층,자갈 섞인 실트질 모래
BH-03,4,10,6,매립층,점토 섞인 모래
BH-03,10,12.3,2.3,퇴적층,실트질 점토
BH-03,12.3,15,2.7,퇴적층,자갈 섞인 실트질 모래
BH-03,15,20,5,풍화토,실트질 모래
BH-05,0,6,6,매립층,실트질 모래 섞인 자갈
BH-05,6,10,4,퇴적층,실트질 모래
BH-05,10,13,3,풍화토,실트질 모래
BH-05,13,16,3,풍화토,실트질 점토
BH-05,16,21,5,풍화토,실트질 모래
BH-05,21,21.5,0.5,풍화암,굴진 시 실트질 모래로 분해
BH-05,21.5,22,0.5,기반암,기반암
BH-1,0,3,3,매립층,
BH-1,3,4.5,1.5,퇴적층,
BH-1,4.5,5.2,0.7,퇴적층,
BH-1,5.2,9.3,4.1,퇴적층,
BH-1,9.3,10.9,1.6,퇴적층,
BH-1,10.9,14.5,3.6,퇴적층,
BH-1,14.5,17,2.5,퇴적층,
BH-1,17,22,5,풍화토,
BH-2,0,5.6,5.6,매립층,
BH-2,5.6,7,1.4,퇴적층,
BH-2,7,8.7,1.7,퇴적층,
BH-2,8.7,11,2.3,퇴적층,
BH-2,11,14,3,풍화토,
BH-3,0,8.4,8.4,매립층,
BH-3,8.4,9.3,0.9,퇴적층,
BH-3,9.3,13,3.7,퇴적층,
BH-3,13,16,3,풍화토,
NBH-2,0,0.8,0.8,매립층,
NBH-2,0.8,1.5,0.7,매립층,
NBH-2,1.5,3.5,2,매립층,
NBH-2,3.5,6.2,2.7,매립층,
NBH-2,6.2,7.5,1.3,매립층,
NBH-2,7.5,9.2,1.7,매립층,
NBH-2,9.2,9.6,0.4,퇴적층,
NBH-2,9.6,12.6,3,퇴적층,
NBH-2,12.6,14,1.4,풍화토,
NBH-2,14,25.6,11.6,풍화토,
NBH-2,25.6,26.4,0.8,연암층,
NBH-3,0,1.8,1.8,매립층,
NBH-3,1.8,4,2.2,매립층,
NBH-3,4,8,4,매립층,
NBH-3,8,10,2,퇴적층,
NBH-3,10,10.8,0.8,퇴적층,
NBH-3,10.8,12.8,2,퇴적층,
NBH-3,12.8,15.5,2.7,풍화토,
NBH-3,15.5,18.5,3,풍화토,
NBH-3,18.5,19.2,0.7,연암층,
NBH-4,0,0.8,0.8,매립층,
NBH-4,0.8,3.8,3,매립층,
NBH-4,3.8,7.8,4,매립층,
NBH-4,7.8,8.4,0.6,퇴적층,
NBH-4,8.4,9,0.6,퇴적층,
NBH-4,9,10.8,1.8,퇴적층,
NBH-4,10.8,12.4,1.6,퇴적층,
NBH-4,12.4,13.6,1.2,퇴적층,
NBH-4,13.6,14.2,0.6,퇴적층,
NBH-4,14.2,16.7,2.5,풍화토,
NBH-4,16.7,18.5,1.8,풍화토,
NBH-4,18.5,19.2,0.7,풍화암,
NBH-4,19.2,19.6,0.4,연암층,
